iata_code,icao_code,airport_name,city,country_code,country_name,latitude,longitude,timezone,location_type
"PDZ","SVPE","PEDERNALES AIRPORT",,"VE","VENEZUELA",,,"01","AIRPORT"
"QIU",,"OFF-LINE POINT CIUDADELA",,"ES","SPAIN",,,"01","OFF-LINE PORT"
"BLA","SVBC","J.A. ANZOATEGUI INTL",,"VE","VENEZUELA",,,"01","AIRPORT"
"IMU",,"AKIMUGA",,"ID","INDONESIA",,,"03","AIRPORT"
"PPR","WIBG","PASIR PANGARAYAN AIRPORT",,"ID","INDONESIA",,,"01","AIRPORT"
"XCP","LFAD","OFF-LINE POINT COMPIEGNE",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"ZKO",,"SIERRE/SIDERS RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"YKE",,"KNEE LAKE AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"WTZ","NZWT","WHITIANGA AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"TQP","YTEE","TREPELL AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"MRB","KMRB","EASTERN W.V. REGIONAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"GCJ","FAGC","GRAND CENTRAL",,"ZA","SOUTH AFRICA",,,"01","AIRPORT"
"XKE",,"RENA RAILWAY STN.",,"NO","NORWAY",,,"01","RAILWAY STATION"
"CBJ","MDCR","CABO ROJO",,"DO","DOMINICAN REPUBLIC",,,"01","AIRPORT"
"MMC",,"CIUDAD MANTE AIRPORT",,"MX","MEXICO",,,"01","AIRPORT"
"DOM","TDPD","MELVILLE HALL",,"DM","DOMINICA",,,"01","AIRPORT"
"BWI",,"BALTIMORE",,"US","UNITED STATES OF AMERICA",,,"01","METROPOLITAN AREA"
"ICN","RKSI","INCHEON INTERNATIONAL",,"KR","KOREA, REPUBLIC OF",,,"01"
"MGZ","VYME","MYEIK AIRPORT",,"MM","MYANMAR",,,"01","AIRPORT"
"DPL","RPMG","DIPOLOG AIRPORT",,"PH","PHILIPPINES",,,"01","AIRPORT"
"TPR",,"TOM PRICE AIRPORT",,"AU","AUSTRALIA",,,"04","AIRPORT"
"COF","KCOF","PATRICK AFB",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"GNJ","UBBG","GANJA AIRPORT",,"AZ","AZERBAIJAN",,,"01","AIRPORT"
"QZG",,"OFF-LINE POINT LA LLAGONNE",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"MRN","KMRN","FOOTHILLS REGIONAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"QGV",,"NEU ISENBURG RAIL STN",,"DE","GERMANY",,,"01","RAILWAY STATION"
"UBI","AYUI","BUIN AIRPORT",,"PG","PAPUA NEW GUINEA",,,"02","AIRPORT"
"CHR","LFLX","DEOLS",,"FR","FRANCE",,,"01","AIRPORT"
"BGM","KBGM","GREATER BINGHAMTON",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"GYM","MMGM","JOSE MARIA YANEZ INTL",,"MX","MEXICO",,,"02","AIRPORT"
"BVM",,"BELMONTE AIRPORT",,"BR","BRAZIL",,,"01","AIRPORT"
"IBT",,"BOLOGNA CENTRAL RAILWAY STN",,"IT","ITALY",,,"01","RAILWAY STATION"
"CTA","LICC","FONTANAROSSA",,"IT","ITALY",,,"01","AIRPORT"
"ASG","NZAS","ASHBURTON AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"MJC","DIMN","MAN AIRPORT",,"CI","COTE D'IVOIRE",,,"01","AIRPORT"
"ZDL",,"BRIG RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"HOT","KHOT","MEMORIAL FIELD",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"XRH","YSRI","RAAF BASE",,"AU","AUSTRALIA",,,"02","AIRPORT"
"TDX","VTBO","TRAT AIRPORT",,"TH","THAILAND",,,"01","AIRPORT"
"MJO","FYME","MOUNT ETJO AIRPORT",,"NA","NAMIBIA",,,"01","AIRPORT"
"YGW","CYGW","KUUJJUARAPIK AIRPORT",,"CA","CANADA",,,"03","AIRPORT"
"QVD",,"OFF-LINE POINT SALO",,"FI","FINLAND",,,"01","OFF-LINE PORT"
"NPL","NZNP","NEW PLYMOUTH AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"QLZ",,"IKAST BUS STN.",,"DK","DENMARK",,,"01","BUS STATION"
"JLS",,"JALES AIRPORT",,"BR","BRAZIL",,,"01","AIRPORT"
"BDM","LTBG","BANDIRMA AIRPORT",,"TR","TÜRKIYE",,,"01","AIRPORT"
"LNS","KLNS","LANCASTER AIRPORT",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"VOL","LGBL","NEA ANCHIALOS",,"GR","GREECE",,,"01","AIRPORT"
"GNF",,"GANSNER FIELD",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"PNB",,"PORTO NACIONAL AIRPORT",,"BR","BRAZIL",,,"01","AIRPORT"
"KBZ","NZKI","KAIKOURA AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"SFD","SVSR","LAS FLECHERAS",,"VE","VENEZUELA",,,"01","AIRPORT"
"MSI",,"MASALEMBO AIRPORT",,"ID","INDONESIA",,,"01","AIRPORT"
"DCT","MYRD","DUNCAN TOWN AIRPORT",,"BS","BAHAMAS",,,"01","AIRPORT"
"SIX","YSGT","SINGLETON AIRPORT",,"AU","AUSTRALIA",,,"02","AIRPORT"
"FIS",,"CENTRAL RAILWAY ST.",,"CD","CONGO DEMOCRATIC REPUBLIC OF",,,"01","RAILWAY STATION"
"MIJ",,"MILI ISLAND AIRPORT",,"MH","MARSHALL ISLANDS",,,"01","AIRPORT"
"HFA","LLHA","HAIFA AIRPORT",,"IL","ISRAEL",,,"01","AIRPORT"
"LKM",,"BOLAANG MONGONDOW",,"ID","INDONESIA",,,"02","AIRPORT"
"LBH","YPLB","PALM BEACH SPB",,"AU","AUSTRALIA",,,"02","AIRPORT"
"SOJ","ENSR","SORKJOSEN AIRPORT",,"NO","NORWAY",,,"01","AIRPORT"
"XBE",,"BEARSKIN LAKE AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"KKU",,"EKUK AIRPORT",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"KDR","AYKC","KANDRIAN AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"CUY","YCUE","CUE AIRPORT",,"AU","AUSTRALIA",,,"04","AIRPORT"
"SKK",,"SHAKTOOLIK AIRPORT",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"YML","CYML","CHARLEVOIX",,"CA","CANADA",,,"03","AIRPORT"
"EKW",,"MIAMI BL",,"US","UNITED STATES OF AMERICA",,,"01","RAILWAY STATION"
"ARN","ESSA","ARLANDA",,"SE","SWEDEN",,,"01","AIRPORT"
"TRF","ENTO","SANDEFJORD-TORP",,"NO","NORWAY",,,"01","AIRPORT"
"NGR",,"NINGERUM AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"LFM","OISR","LAMERD AIRPORT",,"IR","IRAN, ISLAMIC REPUBLIC OF",,,"01"
"GTE","YGTE","GROOTE EYLANDT AIRPORT",,"AU","AUSTRALIA",,,"3A","AIRPORT"
"NCJ","SAFS","SUNCHALES AIRPORT",,"AR","ARGENTINA",,,"01","AIRPORT"
"VKV",,"VASKOVO",,"RU","RUSSIAN FEDERATION",,,"02","AIRPORT"
"XIH",,"OFF-LINE POINT KHAN AL BAGHDADI",,"IQ","IRAQ",,,"01","OFF-LINE PORT"
"MXP","LIMC","MALPENSA",,"IT","ITALY",,,"01","AIRPORT"
"WKB","YWKB","WARRACKNABEAL AIRPORT",,"AU","AUSTRALIA",,,"02","AIRPORT"
"LVK","KLVK","LIVERMORE MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"GBK","GFGK","GBANGBATOK AIRPORT",,"SL","SIERRA LEONE",,,"01","AIRPORT"
"BFE","EDLI","WINDELSBLEICHE",,"DE","GERMANY",,,"01","AIRPORT"
"APU",,"CAPTAIN JOAO BUSSE",,"BR","BRAZIL",,,"01","AIRPORT"
"XAI",,"MINGGANG",,"CN","CHINA",,,"01","AIRPORT"
"BRS","EGGD","BRISTOL AIRPORT",,"GB","UNITED KINGDOM",,,"01","AIRPORT"
"MMH","KMMH","MAMMOTH YOSEMITE",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"RGA","SAWE","HERMES QUIJADA",,"AR","ARGENTINA",,,"01","AIRPORT"
"YAU",,"DONALDSON",,"CA","CANADA",,,"03","AIRPORT"
"XJR",,"LORCA BUS STN.",,"ES","SPAIN",,,"01","BUS STATION"
"MKA","LKMR","MARIANSKE LAZNE AIRPORT",,"CZ","CZECH REPUBLIC",,,"01","AIRPORT"
"YWB","CYKG","WAKEHAM BAY",,"CA","CANADA",,,"03","AIRPORT"
"SWU","RKSW","AIR BASE",,"KR","KOREA, REPUBLIC OF",,,"01"
"QHX",,"QIONGHAI RAILWAY STN.",,"CN","CHINA",,,"01","RAILWAY STATION"
"MRZ","YMOR","MOREE AIRPORT",,"AU","AUSTRALIA",,,"02","AIRPORT"
"BXE","GOTB","BAKEL AIRPORT",,"SN","SENEGAL",,,"01","AIRPORT"
"ZGQ","EBTY","OFF-LINE POINT TOURNAI",,"BE","BELGIUM",,,"01","OFF-LINE PORT"
"OAK",,"OAKLAND",,"US","UNITED STATES OF AMERICA",,,"04","METROPOLITAN AREA"
"DEN",,"DENVER",,"US","UNITED STATES OF AMERICA",,,"03","METROPOLITAN AREA"
"LEN","LELN","LEON AIRPORT",,"ES","SPAIN",,,"01","AIRPORT"
"GZP","LTFG","GAZIPASA ALANYA",,"TR","TÜRKIYE",,,"01","AIRPORT"
"UBA","SBUR","M. DE ALMEIDA FRANCO",,"BR","BRAZIL",,,"01","AIRPORT"
"ZDU",,"DUNDEE RAILWAY STN.",,"GB","UNITED KINGDOM",,,"01","RAILWAY STATION"
"PXR",,"SURIN AIRPORT",,"TH","THAILAND",,,"01","AIRPORT"
"XIL","ZBXH","XILINHOT AIRPORT",,"CN","CHINA",,,"01","AIRPORT"
"XVK",,"VOSS RAILWAY STN.",,"NO","NORWAY",,,"01","RAILWAY STATION"
"QCQ",,"OFF-LINE POINT CARAGUATATUBA",,"BR","BRAZIL",,,"01","OFF-LINE PORT"
"EUC","YECL","EUCLA AIRPORT",,"AU","AUSTRALIA",,,"04","AIRPORT"
"HAT","YHTL","HEATHLANDS AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"SZL","KSZL","WHITEMAN AFB",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"FDR","KFDR","FREDERICK REG. AIRPORT",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"PDV","LBPD","KRUMOVO",,"BG","BULGARIA",,,"01","AIRPORT"
"BVK",,"HUACARAJE AIRPORT",,"BO","BOLIVIA",,,"01","AIRPORT"
"OST","EBOS","OOSTENDE/BRUGGE AIRPORT",,"BE","BELGIUM",,,"01","AIRPORT"
"PKY","WAGG","TJILIK RIWUT",,"ID","INDONESIA",,,"01","AIRPORT"
"PPA","KPPA","PERRY LEFORS FIELD",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"WWY","YWWL","WEST WYALONG AIRPORT",,"AU","AUSTRALIA",,,"02","AIRPORT"
"ORV",,"R. (BOB) CURTIS MEM.",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"SYY","EGPO","STORNOWAY AIRPORT",,"GB","UNITED KINGDOM",,,"01","AIRPORT"
"PGU","OIBP","PERSIAN GULF INTL",,"IR","IRAN, ISLAMIC REPUBLIC OF",,,"01"
"TUQ","DFOT","TOUGAN AIRPORT",,"BF","BURKINA FASO",,,"01","AIRPORT"
"URY","OEGT","GURAYAT AIRPORT",,"SA","SAUDI ARABIA",,,"01","AIRPORT"
"BCK","YBWR","BOLWARRA AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"YKS","UEEE","YAKUTSK AIRPORT",,"RU","RUSSIAN FEDERATION",,,"08","AIRPORT"
"BES","LFRB","BRETAGNE",,"FR","FRANCE",,,"01","AIRPORT"
"XNY",,"39TH STREET FERRY",,"US","UNITED STATES OF AMERICA",,,"01","FERRY PORT"
"NIC","LCNC","NICOSIA AIRPORT",,"CY","CYPRUS",,,"01","AIRPORT"
"XYR","AYED","EDWAKI",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"GDU",,"GUADALAJARA RAILWAY STN.",,"ES","SPAIN",,,"01","RAILWAY STATION"
"IJU",,"J.BATISTA BOS FILHO",,"BR","BRAZIL",,,"01","AIRPORT"
"PYB","VEJP","JEYPORE AIRPORT",,"IN","INDIA",,,"01","AIRPORT"
"MMD","ROMD","MINAMIDAITO AIRPORT",,"JP","JAPAN",,,"01","AIRPORT"
"TCV",,"TORCH CAY",,"BS","BAHAMAS",,,"01","AIRPORT"
"NEN","KNEN","WHITEHOUSE NOLF",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"SLK","KSLK","ADIRONDACK REGIONAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"KXE","FAKD","P.C. PELSER",,"ZA","SOUTH AFRICA",,,"01","AIRPORT"
"MAW","KMAW","MALDEN REG. AIRPORT",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"XTX",,"PORT FREE TRADE ZONE CHENGDU",,"CN","CHINA",,,"01","OFF-LINE PORT"
"ZNE","YNWN","NEWMAN AIRPORT",,"AU","AUSTRALIA",,,"04","AIRPORT"
"HEH","VYHH","HEHO AIRPORT",,"MM","MYANMAR",,,"01","AIRPORT"
"XKC",,"SANDNES RAILWAY STN.",,"NO","NORWAY",,,"01","RAILWAY STATION"
"TGM","LRTM","TRANSILVANIA",,"RO","ROMANIA",,,"01","AIRPORT"
"SKY",,"GRIFFING SANDUSKY",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"MUH","HEMM","MERSA MATRUH AIRPORT",,"EG","EGYPT",,,"01","AIRPORT"
"INF","DATG","IN GUEZZAM AIRPORT",,"DZ","ALGERIA",,,"01","AIRPORT"
"PLX","UASS","SEMEY AIRPORT",,"KZ","KAZAKHSTAN",,,"01","AIRPORT"
"ODJ","FEGO","OUANDA DJALLE AIRPORT",,"CF","CENTRAL AFRICAN REPUBLIC",,,"01","AIRPORT"
"BLN","YBLA","BENALLA AIRPORT",,"AU","AUSTRALIA",,,"02","AIRPORT"
"UVF","TLPL","HEWANORRA INTL",,"LC","SAINT LUCIA",,,"01","AIRPORT"
"WDS",,"WUDANGSHAN",,"CN","CHINA",,,"01","AIRPORT"
"YTH","CYTH","THOMPSON AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"AMG",,"AMBOIN AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"NEJ","HANJ","NEJO AIRPORT",,"ET","ETHIOPIA",,,"01","AIRPORT"
"BLB","MPPA","PANAMA PACIFICO",,"PA","PANAMA",,,"01","AIRPORT"
"IHU","AYIH","IHU AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"EBU","LFMH","BOUTHEON",,"FR","FRANCE",,,"01","AIRPORT"
"YEQ","AYYK","YANKISA AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"YVO","CYVO","VAL D'OR AIRPORT",,"CA","CANADA",,,"03","AIRPORT"
"QQY",,"YORK RAILWAY STN.",,"GB","UNITED KINGDOM",,,"01","RAILWAY STATION"
"XFU",,"TIERP RAILWAY STN.",,"SE","SWEDEN",,,"01","RAILWAY STATION"
"AZD","OIYY","SHAHID SADOOGHI",,"IR","IRAN, ISLAMIC REPUBLIC OF",,,"01"
"XUN",,"SUN VALLEY BUS STATION",,"US","UNITED STATES OF AMERICA",,,"03","BUS STATION"
"KMU","HCMK","KISIMAYU AIRPORT",,"SO","SOMALIA",,,"01","AIRPORT"
"ZXS",,"EXCHANGE ST RAIL STN",,"US","UNITED STATES OF AMERICA",,,"01","RAILWAY STATION"
"XYG",,"PRAGUE MAIN RAILWAY STN.",,"CZ","CZECH REPUBLIC",,,"01","RAILWAY STATION"
"HMT","KHMT","RYAN",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"CBZ",,"BINZHOU DAGAO GENERAL",,"CN","CHINA",,,"01","AIRPORT"
"MCL","PAIN","NATIONAL PARK",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"QXT",,"SITA NETWORK 2",,"XX",,,,,"OFF-LINE PORT"
"RCU","SAOC","LAS HIGUERAS",,"AR","ARGENTINA",,,"01","AIRPORT"
"SMJ","AYXI","SIM AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"CLU","KBAK","COLUMBUS MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"ZKG",,"KEGASKA AIRPORT",,"CA","CANADA",,,"2A","AIRPORT"
"PHS","VTPP","PHITSANULOK AIRPORT",,"TH","THAILAND",,,"01","AIRPORT"
"OCN",,"OCEANSIDE MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"YBN","CYBN","BORDEN CFB HELIPORT",,"CA","CANADA",,,"03","HELIPORT"
"EWV",,"ENSHI RAILWAY STN.",,"CN","CHINA",,,"01","RAILWAY STATION"
"AIC",,"AILINGLAPALAP",,"MH","MARSHALL ISLANDS",,,"01","AIRPORT"
"QJK",,"OFF-LINE POINT AJAOKUTA",,"NG","NIGERIA",,,"01","OFF-LINE PORT"
"KYU","PFKU","KOYUKUK AIRPORT",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"QCH",,"OFF-LINE POINT COLATINA",,"BR","BRAZIL",,,"01","OFF-LINE PORT"
"WBA","WAPV","WAHAI",,"ID","INDONESIA",,,"03","AIRPORT"
"FPY",,"PERRY-FOLEY",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"OVR","SAZF","OLAVARRIA AIRPORT",,"AR","ARGENTINA",,,"01","AIRPORT"
"SYR","KSYR","HANCOCK INTL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"ZWT",,"LUTHERSTADT WITTENBERG RAILWAY STN.",,"DE","GERMANY",,,"01","RAILWAY STATION"
"CEO",,"WAKU-KUNGO AIRPORT",,"AO","ANGOLA",,,"01","AIRPORT"
"XGL",,"ANGOULEME RAILWAY ST",,"FR","FRANCE",,,"01","RAILWAY STATION"
"MMV","AYMM","MAL ISLAND AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"XPD",,"OFF-LINE POINT SAN PEDRO",,"AR","ARGENTINA",,,"01","OFF-LINE PORT"
"SNT","SKRU","LAS CRUCES",,"CO","COLOMBIA",,,"01","AIRPORT"
"KOY",,"SEA PLANE BASE",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"MSA","CZMD","MUSKRAT DAM AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"YEU","CYEU","EUREKA AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"BQL","YBOU","BOULIA AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"QKK",,"OFF-LINE POINT KARASJOK",,"NO","NORWAY",,,"01","OFF-LINE PORT"
"TDT","FATD","TANDA TULA",,"ZA","SOUTH AFRICA",,,"01","AIRPORT"
"QBZ",,"OFF-LINE POINT BOUIRA",,"DZ","ALGERIA",,,"01","OFF-LINE PORT"
"DST",,"SEAPLANE TERMINAL",,"AE","UNITED ARAB EMIRATES",,,"01","AIRPORT"
"RAG","NZRA","RAGLAN AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"APB","SLAP","APOLO AIRPORT",,"BO","BOLIVIA",,,"01","AIRPORT"
"GKA","AYGA","GOROKA AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"ZNF",,"OFF-LINE POINT HANAU",,"DE","GERMANY",,,"01","OFF-LINE PORT"
"DXE",,"BRUCE CAMPBELL FIELD",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"LCT",,"LUANCHENG",,"CN","CHINA",,,"01","AIRPORT"
"ARP",,"ARAGIP AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"MXJ","DNMN","MINNA AIRPORT",,"NG","NIGERIA",,,"01","AIRPORT"
"OBS","LFHO","ARDECHE MERIDIONALE",,"FR","FRANCE",,,"01","AIRPORT"
"XSC","MBSC","SOUTH CAICOS INTL.",,"TC","TURKS AND CAICOS ISLANDS",,,"01","AIRPORT"
"PRU","VYPY","PYAY AIRPORT",,"MM","MYANMAR",,,"01","AIRPORT"
"AXU","HAAX","AXUM AIRPORT",,"ET","ETHIOPIA",,,"01","AIRPORT"
"QEP",,"OFF-LINE POINT TARNOBRZEG",,"PL","POLAND",,,"01","OFF-LINE PORT"
"PLM","WIPP","S M BADARUDDIN II",,"ID","INDONESIA",,,"01","AIRPORT"
"YLL","CYLL","LLOYDMINSTER AIRPORT",,"CA","CANADA",,,"05","AIRPORT"
"ZII",,"ADELAIDE FERRY PORT",,"AU","AUSTRALIA",,,"03","FERRY PORT"
"NTI","WASB","STENKOL",,"ID","INDONESIA",,,"03","AIRPORT"
"QYZ",,"HEERENVEEN BUS STN.",,"NL","NETHERLANDS",,,"01","BUS STATION"
"XUY",,"OFF-LINE POINT AURAY",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"KJT","WICA","KERTAJATI INTL",,"ID","INDONESIA",,,"01","AIRPORT"
"UTM",,"TUNICA MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"DFI","KDFI","MEMORIAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"CNX","VTCC","CHIANG MAI INTL.",,"TH","THAILAND",,,"01","AIRPORT"
"QNN",,"OFF-LINE POINT MARINA",,"NG","NIGERIA",,,"01","OFF-LINE PORT"
"YYT","CYYT","ST JOHN'S INTL.",,"CA","CANADA",,,"01","AIRPORT"
"TGI","SPGM","TINGO MARIA AIRPORT",,"PE","PERU",,,"01","AIRPORT"
"KSX","AYYR","YASURU AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"BZK","UUBP","BRYANSK AIRPORT",,"RU","RUSSIAN FEDERATION",,,"02","AIRPORT"
"DTW","KDTW","METROPOLITAN WAYNE CO.",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"WLG","NZWN","WELLINGTON INTL.",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"XCW","LFJA","OFF-LINE POINT CHAUMONT",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"CRJ","YCRB","COORABIE AIRPORT",,"AU","AUSTRALIA",,,"03","AIRPORT"
"WSX",,"SEA PLANE BASE",,"US","UNITED STATES OF AMERICA",,,"04","AIRPORT"
"RPR","VERP","SWAMI VIVEKANANDA",,"IN","INDIA",,,"01","AIRPORT"
"JIW",,"JIWANI AIRPORT",,"PK","PAKISTAN",,,"01","AIRPORT"
"SBL","SLSA","SANTA ANA DEL YACUMA AIRPORT",,"BO","BOLIVIA",,,"01","AIRPORT"
"XTG","YTGM","THARGOMINDAH AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"IKG",,"KARAKOL INTERNATIONAL",,"KG","KYRGYZSTAN",,,"01","AIRPORT"
"EDO","LTFD","KOCA SEYIT",,"TR","TÜRKIYE",,,"01","AIRPORT"
"NQI","KNQI","NAS",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"BUB","KBUB","CRAM FIELD",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"QGH",,"OFF-LINE POINT GHERIAN",,"LY","LIBYA",,,"01","OFF-LINE PORT"
"QSQ",,"OFF-LINE POINT SIDON",,"LB","LEBANON",,,"01","OFF-LINE PORT"
"SAF","KSAF","SANTA FE MUNICIPAL AIRPORT",,"US","UNITED STATES OF AMERICA",,,"03","AIRPORT"
"BQN","TJBQ","RAFAEL HERNANDEZ",,"PR","PUERTO RICO",,,"01","AIRPORT"
"NDO",,"LA PALMA DEL CONDADO RAILWAY STN.",,"ES","SPAIN",,,"01","RAILWAY STATION"
"DOO","AYDR","DOROBISORO AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"PHK","KPHK","PALM BEACH CO GLADES",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"LOZ","KLOZ","MAGEE FIELD",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"WNH",,"PUZHEHEI",,"CN","CHINA",,,"01","AIRPORT"
"AVP","KAVP","WILKES-BARRE/SCRANTON INTL.",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"GJR","BIGJ","GJOGUR AIRPORT",,"IS","ICELAND",,,"01","AIRPORT"
"TGF",,"OFF-LINE POINT TIGNES",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"PFE",,"PONFERRADA BUS STN.",,"ES","SPAIN",,,"01","BUS STATION"
"VND","FMSU","VANGAINDRANO AIRPORT",,"MG","MADAGASCAR",,,"01","AIRPORT"
"SPS","KSPS","MUNICIPAL/SHEPPARD AFB",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"SAC",,"SACRAMENTO",,"US","UNITED STATES OF AMERICA",,,"04","METROPOLITAN AREA"
"CEQ","LFMD","MANDELIEU",,"FR","FRANCE",,,"01","AIRPORT"
"GTF","KGTF","GREAT FALLS INTL.",,"US","UNITED STATES OF AMERICA",,,"03","AIRPORT"
"AFI","SKAM","AMALFI AIRPORT",,"CO","COLOMBIA",,,"01","AIRPORT"
"CAT","LPCS","TIRES",,"PT","PORTUGAL",,,"01","AIRPORT"
"SEJ",,"SALAMANCA RAILWAY STN.",,"ES","SPAIN",,,"01","RAILWAY STATION"
"NHX",,"BARIN NOLF",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"OPI","YOEN","OENPELLI AIRPORT",,"AU","AUSTRALIA",,,"3A","AIRPORT"
"ZCU",,"SHANDONG AIRPORT CITY TERMINAL",,"CN","CHINA",,,"01","BUS STATION"
"HMR","ENHA","STAFSBERG",,"NO","NORWAY",,,"01","AIRPORT"
"ACS",,"ACHINSK AIRPORT",,"RU","RUSSIAN FEDERATION",,,"06","AIRPORT"
"QIF","EGLI","OFF-LINE POINT ISLEWORTH",,"GB","UNITED KINGDOM",,,"01","OFF-LINE PORT"
"HRR","SKHB","LA HERRERA AIRPORT",,"CO","COLOMBIA",,,"01","AIRPORT"
"KDX","HSLI","KADUGLI AIRPORT",,"SD","SUDAN",,,"01","AIRPORT"
"UZR","UASU","URDZHAR AIRPORT",,"KZ","KAZAKHSTAN",,,"01","AIRPORT"
"AMY","FMMB","AMBATOMAINTY AIRPORT",,"MG","MADAGASCAR",,,"01","AIRPORT"
"TEI","VETJ","TEZU AIRPORT",,"IN","INDIA",,,"01","AIRPORT"
"XXQ",,"KELETI RAILWAY STATION",,"HU","HUNGARY",,,"01","RAILWAY STATION"
"OAZ","OAZI","CAMP BASTION AIRPORT",,"AF","AFGHANISTAN",,,"01","AIRPORT"
"QCA",,"MAKKAH BUS STN.",,"SA","SAUDI ARABIA",,,"01","BUS STATION"
"QVU",,"OFF-LINE POINT VADUZ",,"LI","LIECHTENSTEIN",,,"01","OFF-LINE PORT"
"NIT","LFBN","SOUCHE",,"FR","FRANCE",,,"01","AIRPORT"
"FUB",,"FULLEBORN AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
